subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome
1,27,male,Portugal,exp,3,20,exp,no,526,mixed,f,648,loss,0,297,0.7,10,0.3,30,HP-LP,f,3610,HP,no-win
1,27,male,Portugal,exp,3,22,catch,no,336,mixed,f,1555,win,0,499,0.7,10,0.6,50,HP-LP,j,2708,LP,no-win
1,27,male,Portugal,exp,3,24,exp,no,420,mixed,j,1018,loss,1,631,0.7,10,0.3,50,HP-LP,j,3748,LP,no-win
1,27,male,Portugal,exp,3,26,exp,no,763,mixed,f,800,loss,0,409,0.7,20,0.3,30,LP-HP,j,1617,HP,win
1,27,male,Portugal,exp,3,28,exp,yes,667,mixed,f,836,loss,1,359,0.6,30,0.4,50,HP-LP,f,1528,HP,win
1,27,male,Portugal,exp,3,30,exp,yes,782,mixed,j,955,loss,0,728,0.6,40,0.4,50,LP-HP,j,1559,HP,no-win
1,27,male,Portugal,exp,3,32,exp,no,704,mixed,j,921,win,0,592,0.7,20,0.3,30,LP-HP,j,1645,HP,win
1,27,male,Portugal,exp,3,34,exp,yes,597,mixed,j,1357,loss,0,747,0.6,40,0.4,50,HP-LP,f,2371,HP,win
1,27,male,Portugal,exp,3,36,exp,no,619,mixed,j,1200,win,0,1532,0.7,30,0.3,40,HP-LP,f,1606,HP,win
1,27,male,Portugal,exp,3,38,exp,no,476,mixed,j,529,loss,0,684,0.6,10,0.4,40,HP-LP,j,1557,LP,win
1,27,male,Portugal,exp,3,40,exp,yes,1550,mixed,j,1116,win,0,649,0.7,30,0.3,40,LP-HP,j,1468,HP,win
1,27,male,Portugal,exp,3,42,exp,yes,784,mixed,j,960,loss,0,795,0.6,20,0.4,50,LP-HP,f,3234,LP,no-win
1,27,male,Portugal,exp,3,44,exp,no,527,mixed,f,738,win,0,2914,0.6,20,0.4,50,HP-LP,j,1746,LP,no-win
1,27,male,Portugal,exp,3,46,exp,yes,436,mixed,j,610,loss,0,574,0.6,20,0.4,50,HP-LP,f,2687,HP,win
1,27,male,Portugal,exp,3,48,exp,no,402,mixed,f,761,win,0,411,0.8,20,0.2,30,LP-HP,j,1504,HP,win
1,27,male,Portugal,exp,3,50,catch,no,440,mixed,f,1031,loss,0,636,0.6,10,0.5,50,HP-LP,j,2429,LP,win
1,27,male,Portugal,exp,3,52,catch,yes,568,mixed,j,807,loss,0,522,0.8,10,0.7,50,HP-LP,j,1897,LP,win
1,27,male,Portugal,exp,4,2,exp,yes,1577,mixed,f,917,loss,0,902,0.8,20,0.2,30,HP-LP,f,1872,HP,win
1,27,male,Portugal,exp,4,4,exp,no,645,mixed,j,774,win,0,1438,0.7,10,0.3,30,HP-LP,f,1960,HP,no-win
1,27,male,Portugal,exp,4,6,exp,no,568,mixed,f,903,win,0,414,0.6,20,0.4,50,LP-HP,j,1627,HP,no-win
1,27,male,Portugal,exp,4,8,exp,yes,549,mixed,f,1172,win,0,1092,0.6,30,0.4,50,LP-HP,j,1547,HP,win
1,27,male,Portugal,exp,4,10,exp,no,807,mixed,f,772,loss,0,574,0.7,30,0.3,40,LP-HP,j,1296,HP,no-win
1,27,male,Portugal,exp,4,12,exp,yes,569,mixed,j,1709,win,0,492,0.8,10,0.2,20,LP-HP,j,1342,HP,win
1,27,male,Portugal,exp,4,14,exp,no,632,mixed,j,929,loss,0,747,0.8,20,0.2,30,HP-LP,f,1300,HP,win
1,27,male,Portugal,exp,4,16,exp,no,613,mixed,f,763,loss,0,493,0.7,30,0.3,40,HP-LP,f,1473,HP,no-win
1,27,male,Portugal,exp,4,18,exp,yes,353,mixed,j,1022,loss,0,592,0.7,30,0.3,40,LP-HP,j,1998,HP,win
1,27,male,Portugal,exp,4,20,catch,yes,519,mixed,f,580,loss,0,549,0.7,10,0.6,50,HP-LP,j,2135,LP,win
1,27,male,Portugal,exp,4,22,exp,yes,435,mixed,f,1191,win,0,686,0.8,10,0.2,20,HP-LP,f,2291,HP,win
1,27,male,Portugal,exp,4,24,catch,no,499,mixed,j,1309,loss,0,644,0.7,10,0.6,50,LP-HP,f,2494,LP,no-win
1,27,male,Portugal,exp,4,26,catch,no,444,mixed,j,787,loss,0,782,0.8,50,0.2,30,HP-LP,f,1283,HP,win
1,27,male,Portugal,exp,4,28,exp,no,4289,mixed,f,1240,win,0,2008,0.6,30,0.4,50,HP-LP,f,1613,HP,win
1,27,male,Portugal,exp,4,30,exp,yes,1657,mixed,j,892,win,0,633,0.6,20,0.4,50,HP-LP,f,1886,HP,no-win
1,27,male,Portugal,exp,4,32,exp,yes,477,mixed,j,1224,loss,0,1379,0.8,10,0.2,20,HP-LP,f,1437,HP,win
1,27,male,Portugal,exp,4,34,catch,yes,567,mixed,f,677,win,0,860,0.7,10,0.6,50,LP-HP,f,1754,LP,no-win
1,27,male,Portugal,exp,4,36,exp,yes,533,mixed,j,850,loss,0,860,0.6,10,0.4,40,LP-HP,f,3322,LP,no-win
1,27,male,Portugal,exp,4,38,exp,yes,509,mixed,j,760,loss,0,482,0.7,10,0.3,30,LP-HP,j,1840,HP,no-win
1,27,male,Portugal,exp,4,40,exp,no,597,mixed,f,698,win,0,574,0.7,10,0.3,50,LP-HP,j,1828,HP,win
1,27,male,Portugal,exp,4,42,exp,yes,466,mixed,j,857,win,0,522,0.7,10,0.3,50,LP-HP,j,1270,HP,win
1,27,male,Portugal,exp,4,44,catch,no,793,mixed,j,1947,win,0,438,0.8,40,0.2,20,LP-HP,j,763,HP,no-win
1,27,male,Portugal,exp,4,46,catch,no,707,mixed,j,803,win,0,450,0.6,10,0.5,50,LP-HP,f,1496,LP,win
1,27,male,Portugal,exp,4,48,exp,no,596,mixed,f,1151,win,0,472,0.8,10,0.2,20,LP-HP,j,1118,HP,no-win
1,27,male,Portugal,exp,4,50,exp,no,655,mixed,f,754,loss,0,545,0.6,10,0.4,40,LP-HP,f,2725,LP,win
1,27,male,Portugal,exp,4,52,exp,yes,604,mixed,j,650,loss,0,573,0.7,20,0.3,30,LP-HP,j,1399,HP,win
1,27,male,Portugal,exp,5,2,exp,no,2925,mixed,f,704,loss,0,542,0.8,20,0.2,30,LP-HP,j,1037,HP,win
1,27,male,Portugal,exp,5,4,exp,no,449,mixed,j,834,loss,0,520,0.7,10,0.3,30,LP-HP,j,927,HP,win
1,27,male,Portugal,exp,5,6,exp,yes,404,mixed,f,560,win,0,546,0.7,10,0.3,50,HP-LP,f,1001,HP,no-win
1,27,male,Portugal,exp,5,8,exp,no,563,mixed,j,991,loss,0,1045,0.8,10,0.2,20,HP-LP,f,2372,HP,win
1,27,male,Portugal,exp,5,10,catch,yes,453,mixed,j,775,loss,0,550,0.8,40,0.2,20,LP-HP,j,752,HP,win
1,27,male,Portugal,exp,5,12,exp,yes,408,mixed,f,684,loss,0,464,0.6,30,0.4,50,LP-HP,j,1350,HP,no-win
1,27,male,Portugal,exp,5,14,exp,no,460,mixed,f,702,loss,0,441,0.6,40,0.4,50,HP-LP,f,1265,HP,no-win
1,27,male,Portugal,exp,5,16,catch,yes,543,mixed,j,702,loss,0,709,0.6,10,0.5,50,LP-HP,f,1168,LP,no-win
1,27,male,Portugal,exp,5,18,exp,yes,495,mixed,f,828,win,0,366,0.6,10,0.4,40,LP-HP,f,1146,LP,win
1,27,male,Portugal,exp,5,20,catch,no,448,mixed,f,549,loss,0,21,0.7,30,0.3,10,LP-HP,j,1425,HP,win
1,27,male,Portugal,exp,5,22,exp,yes,749,mixed,j,1024,win,0,638,0.8,20,0.2,30,HP-LP,f,1223,HP,win
1,27,male,Portugal,exp,5,24,catch,yes,1911,mixed,f,372,loss,0,622,0.7,30,0.3,10,HP-LP,f,762,HP,win
1,27,male,Portugal,exp,5,26,exp,no,2073,mixed,f,1326,win,0,404,0.6,40,0.4,50,HP-LP,f,1451,HP,win
1,27,male,Portugal,exp,5,28,exp,no,392,mixed,j,1724,loss,0,835,0.6,30,0.4,50,HP-LP,f,1194,HP,win
1,27,male,Portugal,exp,5,30,exp,yes,1618,mixed,j,578,win,0,647,0.6,40,0.4,50,HP-LP,f,1198,HP,win
1,27,male,Portugal,exp,5,32,exp,yes,3007,mixed,j,778,loss,1,622,0.7,10,0.3,30,HP-LP,j,3468,LP,no-win
1,27,male,Portugal,exp,5,34,exp,no,1345,mixed,j,1413,loss,0,1462,0.7,20,0.3,30,HP-LP,f,1241,HP,win
1,27,male,Portugal,exp,5,36,exp,no,6270,mixed,f,1478,win,0,1146,0.7,10,0.3,30,LP-HP,j,1568,HP,win
1,27,male,Portugal,exp,5,38,catch,no,3054,mixed,f,983,win,0,1613,0.8,10,0.7,50,HP-LP,j,1440,LP,no-win
1,27,male,Portugal,exp,5,40,exp,no,325,mixed,j,706,win,0,360,0.7,10,0.3,50,HP-LP,f,1263,HP,no-win
1,27,male,Portugal,exp,5,42,exp,no,657,mixed,f,700,win,0,1011,0.7,20,0.3,30,HP-LP,f,1138,HP,win
1,27,male,Portugal,exp,5,44,exp,no,744,mixed,f,531,win,0,379,0.6,10,0.4,40,HP-LP,f,867,HP,win
1,27,male,Portugal,exp,5,46,exp,yes,1154,mixed,f,399,win,0,565,0.6,30,0.4,50,HP-LP,f,993,HP,no-win
1,27,male,Portugal,exp,5,48,catch,yes,1261,mixed,f,520,win,0,1534,0.7,30,0.3,10,LP-HP,j,809,HP,win
1,27,male,Portugal,exp,5,50,exp,no,587,mixed,j,382,win,0,426,0.8,20,0.2,30,HP-LP,f,941,HP,no-win
1,27,male,Portugal,exp,5,52,exp,yes,350,mixed,f,298,loss,0,473,0.7,10,0.3,50,HP-LP,f,881,HP,win
1,27,male,Portugal,exp,6,2,exp,no,788,mixed,f,2120,loss,0,409,0.6,30,0.4,50,LP-HP,j,1083,HP,no-win
1,27,male,Portugal,exp,6,4,exp,yes,549,mixed,f,551,win,0,385,0.8,20,0.2,30,LP-HP,j,768,HP,no-win
1,27,male,Portugal,exp,6,6,exp,no,566,mixed,f,370,loss,0,497,0.6,40,0.4,50,LP-HP,j,1837,HP,win
1,27,male,Portugal,exp,6,8,exp,yes,481,mixed,j,233,loss,1,482,0.7,20,0.3,30,HP-LP,f,1167,HP,no-win
1,27,male,Portugal,exp,6,10,catch,yes,1264,mixed,f,861,win,0,595,0.8,40,0.2,20,HP-LP,f,669,HP,win
1,27,male,Portugal,exp,6,12,exp,yes,927,mixed,j,789,win,0,781,0.7,10,0.3,30,HP-LP,f,1035,HP,win
1,27,male,Portugal,exp,6,14,exp,yes,529,mixed,j,682,loss,0,563,0.7,10,0.3,50,LP-HP,f,2559,LP,no-win
1,27,male,Portugal,exp,6,16,exp,no,1540,mixed,f,758,win,0,381,0.6,10,0.4,40,LP-HP,f,1637,LP,win
1,27,male,Portugal,exp,6,18,catch,yes,461,mixed,j,722,win,0,544,0.6,10,0.5,50,HP-LP,j,1354,LP,no-win
1,27,male,Portugal,exp,6,20,exp,no,601,mixed,f,513,loss,0,208160,0.8,10,0.2,20,LP-HP,j,1153,HP,no-win
1,27,male,Portugal,exp,6,22,exp,no,501,mixed,f,555,loss,0,425,0.7,10,0.3,50,LP-HP,j,947,HP,no-win
1,27,male,Portugal,exp,6,24,exp,yes,388,mixed,f,503,win,0,607,0.6,20,0.4,50,LP-HP,f,3348,LP,no-win
1,27,male,Portugal,exp,6,26,catch,no,495,mixed,f,520,loss,0,428,0.8,10,0.7,50,LP-HP,f,663,LP,win
1,27,male,Portugal,exp,6,28,exp,yes,417,mixed,f,555,loss,0,535,0.8,10,0.2,20,LP-HP,j,935,HP,win
1,27,male,Portugal,exp,6,30,exp,yes,460,mixed,f,636,loss,0,470,0.6,10,0.4,40,HP-LP,f,958,HP,win
1,27,male,Portugal,exp,6,32,exp,yes,419,mixed,j,441,win,0,772,0.7,30,0.3,40,HP-LP,f,595,HP,win
1,27,male,Portugal,exp,6,34,exp,yes,438,mixed,f,468,win,0,364,0.7,10,0.3,30,LP-HP,j,1022,HP,no-win
1,27,male,Portugal,exp,6,36,exp,yes,398,mixed,j,656,win,0,436,0.6,40,0.4,50,LP-HP,j,1655,HP,no-win
1,27,male,Portugal,exp,6,38,exp,yes,490,mixed,j,482,win,0,464,0.7,20,0.3,30,LP-HP,j,771,HP,win
1,27,male,Portugal,exp,6,40,exp,no,429,mixed,j,519,win,0,301,0.8,10,0.2,20,HP-LP,f,533,HP,no-win
1,27,male,Portugal,exp,6,42,exp,yes,523,mixed,j,348,win,0,496,0.6,10,0.4,40,HP-LP,j,2499,LP,no-win
1,27,male,Portugal,exp,6,44,exp,yes,369,mixed,j,742,loss,1,818,0.7,30,0.3,40,HP-LP,f,806,HP,win
1,27,male,Portugal,exp,6,46,catch,yes,519,mixed,f,469,win,0,609,0.8,50,0.2,30,HP-LP,f,778,HP,win
1,27,male,Portugal,exp,6,48,catch,no,438,mixed,f,437,win,0,322,0.8,50,0.2,30,LP-HP,j,503,HP,win
1,27,male,Portugal,exp,6,50,exp,no,438,mixed,j,679,win,0,318,0.7,30,0.3,40,LP-HP,j,1174,HP,win
1,27,male,Portugal,exp,6,52,catch,yes,339,mixed,j,836,loss,0,463,0.8,50,0.2,30,LP-HP,j,839,HP,no-win
